"b","loglik","loglik.se","delta.loglik","cea","cel","cpa","mu_A","mu_L","tau_E","tau_L","tau_P","od"
0.75,-7399.32289139068,0.115929763445457,-7399.32289139068,0.0155288964884731,0.0110967340054316,0.0100872788323006,2.04692213484482e-05,0.194696413602381,14.0735877802599,12.9856328858504,35.9748754507169,1.56477542013815
0.76,-7399.02471254567,0.11697780695232,-7399.02471254567,0.0187204044310296,0.00904687464418228,0.0153628184656348,8.08746768255551e-05,0.181338492733475,14.1111871173016,12.2156839070107,34.9144843476459,1.63281809764173
0.77,-7397.93818660898,0.164516328452191,0.385252274684717,0.016502107869871,0.00962655179088625,0.0118813206056445,2.98565192860315e-05,0.195952945506186,13.6599323769134,12.7114055572899,38.1649372891452,1.57804572898345
0.78,-7398.42087408418,0.135249048060896,-0.0533317644867566,0.0203214571017947,0.0112362592213814,0.0218166581575895,1.89276862139861e-05,0.150224966126185,12.4109294985331,12.7436023422091,34.3808500263641,1.57702875399488
0.79,-7397.52662962964,0.116466236327222,0.458877890801887,0.0190634619430555,0.00930634774476268,0.013402481299999,6.57656183237662e-05,0.189429330477344,12.8229045874402,12.8890157346074,37.0461919458694,1.57106698322377
0.8,-7398.54260421661,0.18735312224356,-0.796290341943859,0.0184288656217522,0.0111201399411305,0.0142455916566201,3.29588193300112e-05,0.178035676182678,13.6407167865448,12.3589230278769,33.1785285333547,1.5406495321345
0.81,-7398.35401086172,0.152405033300363,0.213982697525353,0.0195157419452637,0.00801378980514439,0.0166680876628488,1.06130268194325e-05,0.186627529447798,12.9610793814144,12.5933717811195,34.5098301468155,1.6418436006478
0.82,-7401.94666854598,0.0987656126677127,-7401.94666854598,0.0212236285333446,0.0145945691844188,0.0238885385198314,5.72374387682162e-06,0.13239919291691,11.0558051552397,12.9117660974194,35.0142615126952,1.50145020943715
0.83,-7400.03876315694,0.130132127952945,0.0511592675456995,0.0187378361148694,0.0117314054154092,0.0162604682855941,0.000117472917288709,0.164734442174664,12.5038333611352,13.6980750775965,33.6865682233,1.67161938181128
0.84,-7397.67648010597,0.169201577769463,0.827105343635594,0.0201486279331459,0.0111723221774641,0.017120744368653,1.07466722142427e-09,0.172495026289078,11.5470742014863,13.3996831898065,37.0798506257982,1.57111604840949
0.85,-7398.4958958607,0.130253718222776,-7398.4958958607,0.0182628560591627,0.0110086522691672,0.0190511479326796,1.43480671325293e-08,0.17244671848479,12.223066097708,12.6157541049912,37.0991060124889,1.61055387611598
0.86,-7397.48719636134,0.129707284001234,-0.739625564066955,0.0192371429799572,0.00837054420601119,0.0169419899267304,2.09085534329262e-07,0.193591633976818,12.8743171142043,12.035517295675,38.0749521602493,1.64119965218479
0.87,-7398.23961726165,0.139982772519944,-7398.23961726165,0.0174319089366511,0.00850038517128151,0.00834634168754688,5.25048501360027e-09,0.225148430615824,13.9285088979583,11.4895485924866,39.140958065976,1.58226278325881
0.88,-7397.34623124671,0.22413471009109,-7397.34623124671,0.0156737432550101,0.0231355895301806,0.0413349937255396,2.74627950800403e-05,0.00214705622755025,10.7034932871421,12.4087153572841,17.9957040556499,1.63446757301297
0.89,-7396.62330313395,0.169561457253884,7.74243698937516,0.0133442416151116,0.0244158945359729,0.0455682824946273,7.6073793657755e-06,3.58744097545676e-05,12.1442750931183,12.5141192438336,17.8506548857334,1.58850921030694
0.9,-7396.41555405082,0.171730983491986,-0.230370185997344,0.0173496344654533,0.0229019009537326,0.0436880789226494,3.85966074817216e-05,0.00027738667272744,11.912592522441,12.0603690106268,16.9224845602781,1.54333941124248
0.91,-7395.99164046907,0.25080143254446,-7395.99164046907,0.0127703379954569,0.0246576941156996,0.0423024965818709,5.70524664286654e-05,4.8320174421176e-05,11.7133540807017,12.6784560824667,16.7057390743377,1.56741879071307
0.92,-7397.07642838445,0.285328061375646,0.27166154056431,0.0139133541962299,0.0258652294059118,0.045507848130511,7.31471594808414e-05,2.70344248726076e-05,12.4576675034666,11.5292712464195,18.2160397396987,1.53867255412098
0.93,-7397.33575243415,0.140316096665668,-7397.33575243415,0.016003550558393,0.0196435462149207,0.0499897681716413,2.35462426321408e-05,0.000531697584368123,10.8588375208168,12.5556160194193,18.4151487537883,1.5820168136668
